n_layers,n_latent,resolution,n_clusters,silhouette,calinski_harabasz,davies_bouldin,score
5,20,0.15,4,0.123551331460476,1059.41259765625,1.67336570273764,-0.490401773620919
5,50,0.35,8,0.0696005374193192,1492.62561035156,2.0627040008959,-0.500477853125021
5,20,0.5,11,0.0885128155350685,1285.431640625,1.87732666837339,-0.503382212213325
2,10,0.2,4,0.0941701382398605,1662.61706542969,2.26110585350731,-0.504318649837765
5,20,0.3,6,0.0807611718773842,1373.17639160156,1.9868061776617,-0.532868614182753
2,10,0.35,6,0.0778565108776093,1509.06774902344,2.12949019346185,-0.542565933560807
5,20,0.45,8,0.071780376136303,1368.91088867188,1.98500671103053,-0.544315446222352
5,20,0.35,8,0.0774288028478622,1274.74829101563,1.89975530549203,-0.547578211628543
5,10,0.5,10,0.0793435052037239,1310.28405761719,1.97582617401341,-0.5861986111925
2,10,0.4,7,0.0751864761114121,1307.18811035156,1.98079210434742,-0.598417517884441
2,10,0.6,10,0.0699290558695793,1224.18212890625,1.92006131779102,-0.625950133015194
2,10,0.3,6,0.0738510712981224,1236.47619628906,1.94125839357842,-0.630931125991239
2,10,0.5,10,0.0625856965780258,1244.47241210938,1.94564275989947,-0.638584651212069
2,10,0.25,5,0.0896794721484184,1201.23620605469,1.96023017611466,-0.669314497911555
5,20,0.25,6,0.0771820619702339,1091.27966308594,1.90409754571044,-0.735635820654267
2,10,0.45,8,0.0625099986791611,1267.19299316406,2.07473995048129,-0.74503695863807
5,10,0.6,12,0.0632223784923554,1244.47961425781,2.05684258753549,-0.74914059478532
2,30,0.2,5,0.0818587765097618,510.273986816406,2.21494842955842,-1.62281566623225
2,40,0.2,4,0.0795191749930382,519.876831054688,2.26037035754478,-1.66097435149705
2,20,0.1,3,0.0838315933942795,740.508972167969,2.49670507376727,-1.67236450820503
2,20,0.15,3,0.0836281850934029,741.960327148438,2.50364983778755,-1.67806132554571
2,30,0.25,5,0.0719827190041542,610.389465332031,2.40110682476417,-1.71873464042798
2,50,0.2,5,0.0681304410099983,540.401916503906,2.33180698181764,-1.72327462430373
2,30,0.1,3,0.0810384079813957,731.009704589844,2.54562634407661,-1.73357823150537
2,30,0.15,3,0.0809110328555107,731.09326171875,2.54627237232091,-1.73426807774665
2,30,0.3,5,0.0710737332701683,617.3984375,2.43658989226457,-1.7481177214944
2,50,0.15,3,0.0813238844275475,723.450256347656,2.56487962861639,-1.76010548784119
2,50,0.1,3,0.0811999142169952,722.914855957031,2.56459491263093,-1.7604801424569
2,40,0.25,5,0.0640373006463051,514.658569335938,2.36616618235766,-1.78747031237541
2,20,0.4,6,0.0585533976554871,638.251220703125,2.5256585655147,-1.82885394715608
2,40,0.1,3,0.0775348618626595,694.813842773438,2.60302539184649,-1.83067668721039
2,40,0.15,3,0.0778385698795319,696.12939453125,2.60589596648244,-1.83192800207166
2,20,0.5,7,0.0509031116962433,649.818542480469,2.55960282601686,-1.85888117184015
2,20,0.3,5,0.0600386075675488,689.922790527344,2.66093092535465,-1.91096952725976
2,20,0.35,5,0.059827234596014,688.995849609375,2.66328151286511,-1.91445842865972
2,20,0.2,5,0.0597443506121635,680.792358398438,2.65602468393536,-1.91548797492475
2,20,0.25,5,0.0593116134405136,684.983032226563,2.6636318966186,-1.91933725095152
2,20,0.6,8,0.0368055626749992,680.211059570313,2.71711386745435,-2.00009724520904
2,40,0.3,5,0.0572093836963177,660.920471191406,2.73477397943967,-2.01664412455194
2,40,0.35,5,0.0567354895174503,660.099609375,2.73362980279221,-2.01679470389976
2,20,0.45,6,0.0570919290184975,641.579345703125,2.72015675224552,-2.0214854775239
2,50,0.6,9,0.0359346233308315,595.486389160156,2.68685307010431,-2.05543205761332
2,50,0.4,7,0.0387932620942593,628.441833496094,2.74735962823371,-2.08012453264335
2,30,0.35,5,0.0550987757742405,650.5625,2.79227335396191,-2.08661207818767
2,50,0.45,7,0.0381338894367218,623.921020507813,2.75390556232923,-2.09185065238469
2,30,0.5,8,0.0410765632987022,533.521667480469,2.68337576043877,-2.1087775296596
2,50,0.5,7,0.0399938747286797,626.009521484375,2.77714950199239,-2.11114610577933
2,30,0.4,6,0.0412976257503033,652.109680175781,2.8153125757574,-2.12190526983132
2,30,0.45,6,0.0411300845444202,649.76513671875,2.815059087677,-2.12416386641383
2,40,0.6,8,0.0392479225993156,641.189697265625,2.84911351666724,-2.1686758968023
2,50,0.35,6,0.0491019785404205,609.725524902344,2.83628730351822,-2.17745980007546
2,40,0.45,7,0.0349192284047604,639.645935058594,2.89578328650764,-2.22121812304429
2,40,0.4,7,0.0356705114245415,631.899169921875,2.88917977089132,-2.2216100895449
2,30,0.6,8,0.0389536023139954,531.099731445313,2.84601692821785,-2.27596359445854
2,40,0.5,8,0.0341038964688778,585.618408203125,2.91358156139038,-2.29385925671838
2,50,0.25,5,0.049822773784399,717.626770019531,3.13385275181493,-2.366403208011
2,50,0.3,5,0.0493187680840492,717.382080078125,3.13998102869241,-2.37328018053023
