n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
5,10,0.45,10,3,0.0763826204094475,1343.0500458928,1.79980920529296,0.097,0.668,0.068,0.406,-1.27544579782521
8,50,0.15,5,2,0.160843587819439,2170.2966310974,1.38075395000375,0.169,0.683,0.123,0.432,-1.27571697562607
8,50,0.25,10,2,0.0731576481247939,2002.52779270172,1.51025517010094,0.105,0.683,0.083,0.432,-1.28074147925021
5,30,0.5,12,2,0.0822256986342293,1386.36925147665,1.83537152096733,0.11,0.668,0.07,0.406,-1.28599299088867
5,10,0.6,14,2,0.0580936856149275,1259.29720453955,1.76475312502413,0.092,0.668,0.066,0.406,-1.28741676666051
5,10,0.4,7,1,0.0855937137581824,1635.40428324788,2.0046773725229,0.121,0.668,0.07,0.406,-1.29810380933171
5,10,0.25,6,2,0.10794366694131,1408.98242218731,1.71511257509715,0.138,0.668,0.101,0.406,-1.30611846945904
5,10,0.3,6,2,0.10272105738492,1536.16988365954,1.7150944479741,0.139,0.668,0.102,0.406,-1.30697989322951
5,30,0.3,7,2,0.0998986856047284,1591.001789382,1.77476780519908,0.132,0.668,0.105,0.406,-1.30902800544608
8,30,0.35,10,2,0.120629143983161,2063.63506546585,1.51362308144467,0.109,0.714,0.08,0.48,-1.31055141088801
5,40,0.6,13,2,0.0854049028495917,1456.46934030526,1.77038801027708,0.08,0.699,0.058,0.456,-1.31181043116285
5,30,0.35,8,2,0.0886944075583053,1502.49648386909,1.87496646326241,0.121,0.668,0.095,0.406,-1.31367741457448
5,40,0.5,9,2,0.0942124202205315,1633.84622509734,1.75273837588018,0.095,0.699,0.071,0.456,-1.32036910611262
5,30,0.15,4,1,0.117692330548939,1957.18574884364,1.9290597345449,0.171,0.668,0.103,0.406,-1.32535435546337
5,10,0.35,7,2,0.0812660145469084,1509.26728457671,1.86080086459999,0.131,0.668,0.096,0.406,-1.33035070768426
5,30,0.25,6,2,0.0960232216789573,1475.30385443611,1.85326009838298,0.145,0.668,0.105,0.406,-1.33953759543754
5,10,0.2,5,2,0.114140862848431,1492.4933999921,1.7812287257986,0.164,0.668,0.122,0.406,-1.34935733973182
5,10,0.15,5,2,0.113224932270987,1494.98739135789,1.78650128381026,0.165,0.668,0.12,0.406,-1.34967582654214
5,40,0.35,8,2,0.104702096479912,1632.89525400398,1.68067897643401,0.119,0.699,0.097,0.456,-1.35272103846329
5,50,0.6,12,2,0.0824406328014283,1427.41044881563,1.78822300590935,0.085,0.714,0.061,0.48,-1.36501114534873
5,40,0.4,8,2,0.100892758167092,1584.49228837861,1.74991162808044,0.12,0.699,0.097,0.456,-1.36687379022202
5,30,0.2,5,2,0.098832568518422,1481.61404243107,1.79562248880027,0.167,0.668,0.123,0.406,-1.37064897824005
5,40,0.3,7,2,0.0938862324058216,1594.98763218709,1.71741957088874,0.13,0.699,0.095,0.456,-1.3781063430737
2,10,0.6,11,2,0.0596049302048614,1176.90488163264,2.14398629384768,0.098,0.683,0.07,0.432,-1.37894845509827
5,40,0.45,9,1,0.0579926126825395,1533.6891940695,1.77847673798967,0.1,0.699,0.081,0.456,-1.37917060141295
5,20,0.6,12,2,0.0787661346210588,1251.33936100617,1.96925018813383,0.086,0.714,0.062,0.48,-1.39759191614202
5,10,0.1,4,2,0.131609167593659,1028.20907746468,1.52641553995659,0.203,0.668,0.152,0.406,-1.39862193252877
8,30,0.15,5,2,0.145958459423979,2102.11042477579,1.47366311089006,0.18,0.714,0.136,0.48,-1.40630233042624
5,50,0.5,10,2,0.0821594844179797,1453.44670136496,1.71532135344996,0.117,0.714,0.087,0.48,-1.41470031585877
5,50,0.35,8,3,0.0810973435656936,1326.29446981338,1.78572436628619,0.138,0.699,0.093,0.456,-1.41716036957226
5,50,0.45,10,2,0.0773744761961989,1387.20289813806,1.73464537638709,0.114,0.714,0.088,0.48,-1.42272991653561
5,40,0.25,5,2,0.116915472458501,1520.90379550467,1.72793971909346,0.169,0.699,0.126,0.456,-1.42983330967561
5,30,0.1,3,1,0.12078852872711,1208.35684001696,1.87911207475269,0.226,0.668,0.136,0.406,-1.44270483674731
5,50,0.4,8,2,0.0731849054485138,1415.54697679275,1.87776063163095,0.124,0.714,0.089,0.48,-1.45081380887494
5,50,0.3,8,2,0.0636521106384648,1352.91822712986,1.84581438384891,0.119,0.714,0.093,0.48,-1.45928341638993
2,10,0.5,9,1,0.0717791565029968,1291.6664093586,2.01820119350545,0.122,0.714,0.093,0.48,-1.47445764237962
2,10,0.4,7,1,0.0772279411622765,1499.6409213694,2.12005124268816,0.137,0.714,0.087,0.48,-1.47779513703807
2,10,0.45,8,1,0.0721968587791849,1407.61265168327,2.11283937466144,0.13,0.714,0.089,0.48,-1.4817064461028
2,10,0.3,6,1,0.0819021043209072,1510.46738371249,2.15911547556619,0.14,0.714,0.091,0.48,-1.48348607405009
5,20,0.3,6,2,0.0933229534580242,1324.69732921357,1.88183859435763,0.147,0.714,0.114,0.48,-1.48362603951706
5,50,0.2,6,3,0.0824336927982349,1144.33689072429,1.64628666030699,0.153,0.714,0.116,0.48,-1.48797812869625
5,40,0.2,5,2,0.0923077758100729,1278.14255400374,1.94062247043824,0.171,0.699,0.13,0.456,-1.49384734353356
5,50,0.25,6,2,0.0741243132804145,1419.30282645121,1.77118814672205,0.153,0.714,0.118,0.48,-1.49702936006923
5,20,0.5,9,2,0.0717363298192178,1285.48315712457,1.95287614327056,0.146,0.714,0.098,0.48,-1.49727712665161
5,20,0.4,8,2,0.0625178132479067,1261.8287014965,1.9872557645382,0.132,0.714,0.101,0.48,-1.50011632813109
5,20,0.45,9,2,0.0533396941788629,1289.13858127748,1.97688820743969,0.127,0.714,0.107,0.48,-1.50789219750123
2,10,0.35,8,2,0.0735296734625788,1214.86184159302,2.08097281689459,0.136,0.714,0.106,0.48,-1.50982451614723
